user_id,segment,city,neighborhood,lat,lng
synth_u_95949512,explorer,İstanbul,Üsküdar,40.99702490568771,28.999181524449703
synth_u_66ecec9c,healthy,İstanbul,Kadıköy,41.003809067279334,29.030948803145947
synth_u_394ee65c,budget,İstanbul,Kadıköy,40.975591241881276,29.028083504654205
synth_u_2b613aae,explorer,İstanbul,Bakırköy,40.98828243100488,28.866037797870238
synth_u_2cb9842e,loyal,İstanbul,Maltepe,40.909224257279895,29.152182218337387
synth_u_3d884ed3,loyal,İstanbul,Beşiktaş,41.027411554708515,29.028284329828725
synth_u_674ea52b,loyal,İstanbul,Kadıköy,41.00958347926203,29.035128062696845
synth_u_5c61a80b,premium,İstanbul,Beyoğlu,41.061473825079965,28.968495607068352
synth_u_a0fdb0fa,budget,İstanbul,Üsküdar,41.04353522961821,29.0053865640288
synth_u_aa9cff66,budget,İstanbul,Kadıköy,40.97609179868387,29.012617581532254
synth_u_30d5bb86,loyal,İstanbul,Sarıyer,41.1603203364886,29.043454657442066
synth_u_8c87704b,healthy,İstanbul,Şişli,41.06849865807447,29.001567864279153
synth_u_168f92f9,premium,İstanbul,Üsküdar,41.00492371071341,29.031716248836993
synth_u_8e5a8155,loyal,İstanbul,Beşiktaş,41.06579411781736,29.022885357331
synth_u_7dd4236b,loyal,İstanbul,Sarıyer,41.18171891413764,29.02734447523612
synth_u_3f2d1188,loyal,İstanbul,Şişli,41.035850735416844,29.01671643092859
synth_u_f9ee27a0,loyal,İstanbul,Beşiktaş,41.05120209001594,29.001920054957587
synth_u_548651ce,explorer,İstanbul,Beşiktaş,41.02910418960508,29.01379818560998
synth_u_20a4e250,explorer,İstanbul,Şişli,41.0638152932403,28.977206958570346
synth_u_98e75130,loyal,İstanbul,Kadıköy,40.96631980407701,28.999746065049305
synth_u_2e3c7213,budget,İstanbul,Bakırköy,40.98261129895849,28.863549595365946
synth_u_983a493a,loyal,İstanbul,Beyoğlu,41.06136369608722,29.003053967713967
synth_u_fcef9e58,loyal,İstanbul,Kadıköy,41.01159937568266,29.045665943553953
synth_u_114ca564,explorer,İstanbul,Beşiktaş,41.02432204077539,28.973798146819934
synth_u_f0a0505f,explorer,İstanbul,Beşiktaş,41.0428316817865,28.98636933931397
synth_u_9e46b673,budget,İstanbul,Beşiktaş,41.05031078350627,29.01720977330335
synth_u_636843dc,loyal,İstanbul,Kadıköy,41.015313499873166,29.057951488413917
synth_u_05892219,explorer,İstanbul,Beyoğlu,41.01491987704437,28.967381014066046
